provide a forum for@R@	provide the opportunity for@R@
be absorbed in@R@	be absorbed into@R@
drop from	be dropped from
provide information on	contain information on
be conscious of	be made aware of
keep at@R@	have at@R@
represent to	point out to
have experience in@R@	have expertise in@R@
see about@R@	get about@R@
be held responsible for	take responsibility for
keep all of	have all of
learn of@R@	read of@R@
be illustrated in@R@	be noted in@R@
didnt@R@	wanna@R@
love@R@	on@R@
be successful with@R@	in@R@
seem to	seem to be
be to say	be to bring
be vulnerable to	be safe from
be served	be served with
descend on	come on
seek to@R@	attempt to@R@
fight off	be opposed by@R@
eat at	end up at
happen to have	pass to
be joined in	be united in
hurry	expedite
lose a lot of	show a lot of
have dinner at@R@	spend at@R@
be guaranteed by	justify@R@
jump from	grow from
locate	settle
be announced in@R@	be announced@R@
be a reference to@R@	refer to@R@
be released from	be treated at
bet	bet on
read a lot of	see lot of
end up buy	need to buy
be supplied with@R@	be fitted with@R@
discount@R@	neglect@R@
degrade@R@	exacerbate@R@
close for	be closed in
transmit to@R@	write to@R@
live within	lie within
be a good time for	be a time for
run like	go like
enjoy take	love see
remain under	come under
want to give	need to give
focus in	be concentrated in
practice with	enjoy with
smooth	deprive
be supplied with@R@	come complete with@R@
walk across	go across
look in	show up in
put a stop to@R@	need to stop@R@
compose	spell
drive on@R@	fly on@R@
identify@R@	be described by
please make	please take
be in between@R@	be split between@R@
be evaluated in	be outlined in
enjoy in	love be in
be frustrated with	be unhappy with
be the purpose of@R@	be the object of@R@
decide to go to	try to go to
escape from@R@	flee from@R@
be comprised of	be made from
be concerned for@R@	fear for@R@
do to make	learn to make
work at@R@	have at@R@
be the manager of	be a director of
need to maintain@R@	want to keep@R@
have a wide range of	have a range of
be an excellent source of@R@	be the main source of@R@
need to remove@R@	try to get rid of@R@
know everything about@R@	know anything about@R@
articulate	invent
be found for	be set up
get stuck in	be stuck in
ascend@R@	climb up@R@
say about	read about
have two of@R@	do one of@R@
be bought by	buy@R@
get ahold of@R@	of@R@
convert	be convinced by@R@
be carried on	be repeated in
be evaluated in@R@	be documented in@R@
be scheduled on	be planned for
enlist the help of@R@	help out with@R@
guide	be guided by@R@
have two of	want one of
announce in@R@	tell in@R@
get married in	marry in
look like on@R@	show up on@R@
wrestle with@R@	put up with@R@
outweigh@R@	reach the top of@R@
have a positive impact on	have no impact on
be welcomed by	welcome@R@
shop	get at
be completed in	be completed within
sound in@R@	pop in@R@
be a substitute for	be used of
create on@R@	grow on@R@
not	wont
remain until	have until
sign up with	sign with
understand the need for@R@	need to look for@R@
discuss with@R@	interact with@R@
know to	to
be closed for	open at
be master of	be the master of
trade in	advertise in
follow to	crawl to
use one of	have many of
throw away@R@	get rid of@R@
like more information on@R@	read more about@R@
be deleted from@R@	be hosted on@R@
move in with	get on with
do as	develop as
be versed in	be an expert in
hold@R@	be held by
know something about	know anything about
strike@R@	fall upon@R@
love to do	get to do
keep tab on	keep an eye on
move like@R@	act like@R@
push for	fight for
mention to	remark to
start collect	be collected by@R@
turn towards@R@	be moved by
stress@R@	emphasize@R@
exemplify@R@	represent@R@
know as@R@	grow as@R@
want to stop	try to stop
be suspicious of	be wary of
seem to work for@R@	begin work for@R@
happen as@R@	come as@R@
screen@R@	separate@R@
be the backbone of@R@	be the cornerstone of@R@
decide to keep	keep
be encouraged to use	get to use
be identified as@R@	be recognized as@R@
start to take@R@	take less than@R@
look on	show on
seem to make@R@	keep make@R@
be broken down into@R@	be arranged in@R@
qualify@R@	be defined by
see plenty of@R@	find a lot of@R@
shift to@R@	change to@R@
stay focused on	want to focus on
be scheduled for@R@	be held for@R@
linger in@R@	persist in@R@
wipe@R@	scrape@R@
experience in@R@	know in@R@
enter in@R@	file in@R@
help shape@R@	shape@R@
be new for	be news to
melt@R@	pass away in@R@
live without@R@	exist without@R@
expedite	speed
need to look for@R@	don need@R@
be the main source of@R@	be a major source of@R@
accuse@R@	criticise@R@
live without@R@	happen without@R@
come over	take place over
associate@R@	unify@R@
help prevent@R@	help maintain@R@
take the lead in@R@	give in@R@
seem out of	be way out of
progress in	continue in
into	have into
fall out of@R@	move out of@R@
be received at	be needed at
outlive@R@	last from@R@
want to get@R@	take to get@R@
suffer in@R@	see in@R@
use a number of	be possible to use
escape from	go off to
enjoy play with	love to play with
worsen@R@	aggravate@R@
be been@R@	be gonna be@R@
sing about@R@	talk about@R@
pass	pass by
compare with	translate into
be born into@R@	be born at@R@
give way to	give in to
be hit with	score@R@
be more interested in@R@	lose interest in@R@
like to@R@	prefer to@R@
post to	be issued to
post to	be sent
observe in@R@	tell in@R@
reach out for	grab
decide to go for	come in for
clip	cut
travel on@R@	end up on@R@
be experienced	be trained as
be obtained in	be in
divorce	cheat on
jerk@R@	yank@R@
be good to have@R@	be to get@R@
be proud to be	be expected to be
reach	be by@R@
counter@R@	conceive of@R@
jump on@R@	ride on@R@
heat	fry
contain link to	have a link to
analyse@R@	analyze@R@
ask for in@R@	ask in@R@
delve into@R@	dig into@R@
be treat	speak about
continue to take@R@	last about@R@
reply with@R@	act with@R@
be the title of@R@	be the name of@R@
condone@R@	explain@R@
be broken by@R@	be a violation of
see with	enjoy with
need to write@R@	try to write@R@
counter@R@	foresee@R@
start take@R@	take up to@R@
work in@R@	start work in@R@
wear to@R@	have one for@R@
dip	sink
come off	come across as
be normal in@R@	be unusual in@R@
recover	fetch
be sick of@R@	get tired of@R@
be borne by@R@	bear
drive out to	go to
be started	be for
be suitable for	be perfect for
be replaced with@R@	be replaced by@R@
be needed in@R@	be necessary in@R@
be added as	be added in
be received in	be sent in
pop up in@R@	sound in@R@
be valuable to	be valuable for
precede	come before
decide between@R@	have a choice of@R@
have extensive experience in@R@	be specialized in@R@
escape from	flee
be selected by	select@R@
team with	partner with
gather	accumulate
be released to	be released into
watch@R@	take in@R@
wish to@R@	manage to@R@
build with@R@	grow with@R@
choose to have	plan to have
go to get@R@	get@R@
abandon@R@	give up@R@
compete in	go up in
score@R@	score on@R@
be considered for@R@	be chosen for@R@
remain until@R@	stay until@R@
pay for@R@	make up@R@
begin to@R@	use to@R@
be bored with@R@	tire of@R@
be treat@R@	be treated by
head up@R@	be head of@R@
advance to	come to
aid in	help
try to fix	put
teach at	be educated at
begin work in	start work in
cut on	cut
be posted at@R@	be posted@R@
develop on	produce on
stand on	lie on
stick with	stay with
want to look at	look up
reclaim@R@	find@R@
close	close on
stay	go on for
feature on	perform in
deprive	smooth
lay in@R@	place in@R@
jump on@R@	move on@R@
provide service for	to
learn all about@R@	think about@R@
bid@R@	like@R@
admit in	let in
respond to@R@	to@R@
want to bring	want to include
consider make	decide to make
be welcome at	be welcome to
sound like	be gone by@R@
didnt	sort of
be asked by@R@	scream for
alternate@R@	swap@R@
use a combination of@R@	be possible to use@R@
be the position of	be those of
be the focus of	center
be published by@R@	start write
speak of@R@	of@R@
be offered as	be intended to be
be broken into@R@	split into@R@
didnt know	don know
hear the voice of@R@	hear the sound of@R@
be required on	be for
hang over@R@	take place over@R@
help improve	help build
decide to go for	arrive for
be to play@R@	be encouraged to bring@R@
be to say	be to have
establish for@R@	add for@R@
lie within	stay within
consider in@R@	in@R@
join force with	identify with
get from@R@	have from@R@
give an overview of@R@	describe some of@R@
check out	check
get lost in	be in
be raised on@R@	on@R@
seem kind of@R@	be the sort of@R@
watch on	discover on
focus	center
be to be	be believed to be
pay on@R@	earn on@R@
depend on@R@	bank on@R@
descend	sink
go up on@R@	come up on@R@
include a link to@R@	relate to@R@
be encouraged by	encourage@R@
be located at@R@	be located in@R@
sound good to@R@	be good to@R@
want to read	ask to see
help to have	be nice to have
be reviewed in	be discussed in
get hooked on@R@	be addicted to@R@
go up to	step up to
lift@R@	steal@R@
expect for@R@	be a requirement for@R@
seal@R@	shut down@R@
do to	be able to
love play with	play with
be obtained from	be derived from
be interrupted by	disturb@R@
be more interested in	be interested in
allow@R@	let@R@
be safe for@R@	be for@R@
be organised by	form@R@
be left	be left at
cap@R@	find@R@
take about	want to take
be noted for@R@	be renowned for@R@
be made at	be due at
post in@R@	in@R@
see about	have about
work with in	work
start see@R@	be seen by
spell@R@	be composed by
be necessary for	be important for
lie within	live within
move to	come to
be expressed in@R@	be measured in@R@
read up on@R@	enter on@R@
snatch	take over
be thrown out of	be kicked out of
develop in	evolve in
work within	want to work in
enrol in	in
do to improve@R@	need to develop@R@
thrive in@R@	move in@R@
fail in@R@	break in@R@
convince@R@	convert@R@
be to do	get to do
advocate@R@	advocate for@R@
outlive@R@	outlast@R@
hit	score on
work on in	need to work on
credit	give credit to
show up as	come out on
be a test of@R@	prove@R@
amaze@R@	surprise@R@
be hidden by@R@	disguise
counter	conceive of
search on	seek
try to reach@R@	try to get to@R@
start to get	get to get
distinguish between@R@	distinguish@R@
read on@R@	come in on@R@
race to	to
be won by	in@R@
have concern about	pay more attention to
provide a variety of	offer a range of
ravage@R@	devastate@R@
explore some of@R@	list some of@R@
have many of@R@	see any of@R@
advance	survive on
be resolved in	be documented in
be an inspiration to@R@	be inspired by
be a discussion on@R@	discuss@R@
be the goal of	be the policy of
be the perfect place for@R@	be the best place for@R@
be discussed in	be detailed in
be the right choice for	be the best choice for
come as	as
travel through	progress through
be made into@R@	be made as@R@
drift to	move up to
subscribe	live up to
pretend@R@	fashion@R@
point out in	state in
ignite@R@	wake up in@R@
be selected as	be elected as
be charged for@R@	be charged@R@
be portrayed in	be noted in
exhibit in	be displayed in
be become	want to become
perform for@R@	try out for@R@
be complete with	be fitted with
vary depend on	be dependant on
hope for	design for
presume	be played by@R@
deceive	trick
have more in@R@	have this in@R@
be taken of	be taken at
prove in	demonstrate in
be backed by@R@	back up
be spoken in	be the word of
face on	experience on
come out with@R@	arrive with@R@
crawl	swim
find in@R@	rule in@R@
pardon@R@	be explained by
be the fruit of@R@	be born from@R@
take of@R@	take out of@R@
find with	come with
be left without	be done without
relate to	be a link to
grow up with	be produced by@R@
be scheduled on@R@	be held on@R@
come in for	come for
be set in	put in
be mounted on@R@	mount to@R@
die after@R@	get after@R@
see the end of@R@	deduce@R@
be up on	come up on
develop on@R@	produce on@R@
play a significant role in	play an important part in
leave at@R@	at@R@
see the end of@R@	mark the end of@R@
be developed as@R@	be designed as@R@
be the cost of@R@	be the center of@R@
contract with@R@	sign to@R@
claim@R@	lay claim to@R@
be killed on@R@	be killed@R@
teach in	teach course in
be ordered from@R@	be from@R@
invent@R@	articulate@R@
be based on@R@	be all based on@R@
grow up	be produced by@R@
forfeit	renounce
begin to get@R@	keep get@R@
make an impact on@R@	have a negative impact on@R@
use a combination of@R@	make extensive use of@R@
love read@R@	read@R@
love everything about@R@	about@R@
lean toward	move toward
spin on@R@	rotate@R@
float in	swim in
be glad to have	be blessed with
assume in	have in
switch	switch on
require@R@	demand@R@
have more in@R@	have nothing in@R@
glance over at	smile at
lose most of	be left by@R@
want to get into	want to go into
didnt get	get to get
foresee	counter
be divided in@R@	be divided into@R@
be the sort of@R@	be sort of@R@
be the first of	be the first in
upgrade to@R@	configure@R@
check out@R@	be by
receive a copy of	buy a copy of
cover all of	meet all of
go down with	come down with
write up@R@	be by
challenge	be challenged by@R@
have family in@R@	attend school in@R@
span	have over
dismantle	level
take all of@R@	use all of@R@
carry to	succeed to
be categorized as	be considered as
rely more on@R@	bank on@R@
be a leader in@R@	be the leader in@R@
telephone@R@	like to call@R@
designate	assign
love everything about@R@	like about@R@
walk over to	run up to
develop into	evolve into
hate on	hate
qualify@R@	define@R@
plan to make@R@	be interested in make@R@
be a mixture of@R@	be sort of@R@
be conducted at	be all at
be planned for@R@	be due for@R@
start to do@R@	manage to do@R@
be raised to	build to
work best for	work better for
carry to	follow to
be due for	be slated for
be deleted from@R@	be uploaded to@R@
